Unique,Parcel_ID,Land_Use,Property_Address,Property_City,Sale_Date,Sale_Price,Sold_As_Vacant,Multiple_Parcels_Involved_in_Sale,Acreage,Tax_District,Neighborhood,Land_Value,Building_Value,Total_Value,Finished_Area,Foundation_Type,Year_Built,Exterior_Wall,Grade,Bedrooms,Full_Bath,Half_Bath
21,148 14 0 004.00,SINGLE FAMILY,4907  PACKARD DR,NASHVILLE,2013-01-18,48000,f,f,0.44,URBAN SERVICES DISTRICT,3927,21000,53400,74400,950,CRAWL,1958,BRICK,C,2,1,0
22,148 14 0 062.00,SINGLE FAMILY,3805  CREEKSIDE DR,NASHVILLE,2013-01-22,127000,f,f,0.42,URBAN SERVICES DISTRICT,3927,21000,107100,128100,1927,CRAWL,1959,BRICK,C,4,2,0
23,148 15 0 231.00,SINGLE FAMILY,225  CLIPPER CT,NASHVILLE,2013-01-08,92900,f,f,0.19,URBAN SERVICES DISTRICT,3928,15000,66600,81600,1293,CRAWL,1980,FRAME,C,4,1,1
24,160 03 0 127.00,SINGLE FAMILY,5316  OVERTON RD,NASHVILLE,2013-01-04,267300,f,f,0.76,URBAN SERVICES DISTRICT,4026,55000,300400,355400,2370,FULL BSMT,1968,BRICK,B,4,2,0
27,161 02 0 005.00,SINGLE FAMILY,641  MCMURRAY DR,NASHVILLE,2013-01-28,187000,f,f,0.52,URBAN SERVICES DISTRICT,4028,36500,151300,187800,2010,CRAWL,1965,BRICK,C,3,2,0
33,162 06 0 012.00,SINGLE FAMILY,152  TUSCULUM RD,ANTIOCH,2013-01-15,109900,f,f,0.28,URBAN SERVICES DISTRICT,3929,24000,77400,101400,1247,CRAWL,1968,BRICK,C,3,1,1
84,091 13 0 269.00,SINGLE FAMILY,408  EASTBORO DR,NASHVILLE,2013-01-24,131350,f,f,0.17,URBAN SERVICES DISTRICT,3330,32000,89200,121200,1353.60001,FULL BSMT,1949,BRICK,C,4,2,0
85,091 15 0 102.00,SINGLE FAMILY,5202  PARK AVE,NASHVILLE,2013-01-14,285000,f,f,0.17,URBAN SERVICES DISTRICT,2526,120000,143200,268900,1391,CRAWL,1930,FRAME,C,2,2,0
86,091 16 0 256.00,DUPLEX,4306  DAKOTA AVE,NASHVILLE,2013-01-11,450000,f,f,0.34,URBAN SERVICES DISTRICT,2526,165000,103000,268000,1650,CRAWL,1968,BRICK,C,4,2,0
92,092 09 0 215.00,DUPLEX,410  37TH AVE N,NASHVILLE,2013-01-23,63500,f,f,0.15,URBAN SERVICES DISTRICT,1126,20000,76700,96700,2000,SLAB,1988,BRICK,D,6,4,0
94,092 13 0 272.00,SINGLE FAMILY,333  CHAMBERLIN ST,NASHVILLE,2013-01-24,130000,f,f,0.17,URBAN SERVICES DISTRICT,1126,65000,63600,130200,1296,FULL BSMT,1958,FRAME,D,2,1,0
101,103 03 0 023.00,SINGLE FAMILY,5514  BON AIR CIR,NASHVILLE,2013-01-16,194000,f,f,0.41,URBAN SERVICES DISTRICT,3339,45000,112700,157700,1032,PT BSMT,1953,FRAME,C,3,1,0
102,103 03 0 126.00,SINGLE FAMILY,4902  IDAHO AVE,NASHVILLE,2013-01-09,207500,f,f,0.17,URBAN SERVICES DISTRICT,2526,150000,510200,660200,3650,PT BSMT,2014,FRAME,B,4,4,0
103,103 08 0 206.00,SINGLE FAMILY,4208  ABERDEEN RD,NASHVILLE,2013-01-18,295000,f,f,0.19,URBAN SERVICES DISTRICT,2626,160000,111400,273500,920,CRAWL,1950,BRICK,C,2,1,0
104,103 10 0 089.00,SINGLE FAMILY,815  NEARTOP DR,NASHVILLE,2013-01-23,260000,f,f,0.52,URBAN SERVICES DISTRICT,3332,65000,195600,260600,1723,CRAWL,1953,BRICK,B,3,2,0
109,104 01 0 244.00,ZERO LOT LINE,3608  NEBRASKA AVE,NASHVILLE,2013-01-11,138000,f,f,0.08,URBAN SERVICES DISTRICT,2526,105000,44900,149900,810,CRAWL,1983,BRICK/FRAME,C,2,1,0
110,104 01 0 444.00,ZERO LOT LINE,3606  NEBRASKA AVE,NASHVILLE,2013-01-11,138000,f,f,0.08,URBAN SERVICES DISTRICT,2526,105000,44900,149900,810,CRAWL,1983,BRICK/FRAME,C,2,1,0
111,104 05 0 361.00,SINGLE FAMILY,311  WEST END PL,NASHVILLE,2013-01-15,270000,f,f,0.22,URBAN SERVICES DISTRICT,2626,175000,485900,660900,3308.32501,FULL BSMT,1930,FRAME,B,4,3,0
112,104 06 0 123.00,SINGLE FAMILY,3340  ACKLEN AVE,NASHVILLE,2013-01-18,394500,f,f,0.18,URBAN SERVICES DISTRICT,2426,214500,156800,371300,1840,CRAWL,1950,BRICK,C,3,2,0
114,104 09 0 011.00,SINGLE FAMILY,3725  PRINCETON AVE,NASHVILLE,2013-01-15,899900,f,f,0.27,URBAN SERVICES DISTRICT,2626,175000,567400,782300,3914,FULL BSMT,1935,BRICK,B,4,1,1
115,104 11 0 240.00,SINGLE FAMILY,2608  ESSEX PL,NASHVILLE,2013-01-25,860000,f,f,0.22,URBAN SERVICES DISTRICT,2426,214500,472700,702300,3346.25,CRAWL,2005,FRAME/STONE,A,4,2,2
118,104 14 0 049.00,SINGLE FAMILY,2922  WESTMORELAND DR,NASHVILLE,2013-01-10,555000,f,f,0.17,URBAN SERVICES DISTRICT,2426,214500,365600,580100,3509.77496,PT BSMT,2007,FRAME,B,4,3,2
119,105 09 0 141.00,DUPLEX,1113  WADE AVE,NASHVILLE,2013-01-15,164000,f,f,0.14,URBAN SERVICES DISTRICT,1626,80000,69400,149400,1374,CRAWL,1967,BRICK,C,4,2,0
120,105 09 0 342.00,SINGLE FAMILY,924  WEDGEWOOD AVE,NASHVILLE,2013-01-18,151000,f,f,0.13,URBAN SERVICES DISTRICT,1626,105000,50700,155700,897,CRAWL,1940,FRAME,C,2,1,0
121,105 13 0 109.00,SINGLE FAMILY,1406  ELMWOOD AVE,NASHVILLE,2013-01-23,600000,f,f,0.21,URBAN SERVICES DISTRICT,2228,180000,414300,594300,3116,PT BSMT,1930,FRAME,B,4,5,0
122,105 13 0 349.00,SINGLE FAMILY,924  WALDKIRCH AVE,NASHVILLE,2013-01-02,225000,f,f,0.18,URBAN SERVICES DISTRICT,1626,140000,83400,245200,736,FULL BSMT,1940,FRAME,C,2,1,0
125,105 14 0 193.00,SINGLE FAMILY,807  HILLVIEW HTS,NASHVILLE,2013-01-11,396500,f,f,0.19,URBAN SERVICES DISTRICT,1626,120000,259700,380200,2022,FULL BSMT,1935,STONE,C,3,2,0
127,115 08 0 089.00,SINGLE FAMILY,6030  BRESSLYN RD,NASHVILLE,2013-01-11,433500,f,f,1.64,URBAN SERVICES DISTRICT,4429,275000,239000,514000,2983,PT BSMT,1968,BRICK,B,3,2,0
128,115 15 0 009.00,SINGLE FAMILY,6349  BRESSLYN RD,NASHVILLE,2013-01-10,147500,f,f,1.12,URBAN SERVICES DISTRICT,4430,175000,184200,359200,1829,CRAWL,1956,BRICK,B,3,2,0
130,116 09 0 072.00,SINGLE FAMILY,5937  LONG MEADOW RD,NASHVILLE,2013-01-30,428000,f,f,0.79,URBAN SERVICES DISTRICT,4429,190000,241000,431000,2676,CRAWL,1961,BRICK,B,3,2,0
131,116 13 0 118.00,SINGLE FAMILY,104  LINCOLN CT,NASHVILLE,2013-01-11,100000,f,f,0.29,URBAN SERVICES DISTRICT,4328,225000,146700,371700,1754,CRAWL,1957,BRICK,C,3,1,1
132,117 01 0 053.00,SINGLE FAMILY,717  CANTRELL AVE,NASHVILLE,2013-01-18,427000,f,f,0.4,URBAN SERVICES DISTRICT,3227,240000,492300,732300,3188,CRAWL,2013,FRAME,B,4,3,0
136,117 04 0 166.00,SINGLE FAMILY,2701  OAKLAND AVE,NASHVILLE,2013-01-18,989000,f,f,0.28,URBAN SERVICES DISTRICT,2226,180000,794500,987800,4171.5,PT BSMT,1936,BRICK,B,4,4,0
140,117 10 0 015.00,SINGLE FAMILY,2205  WOODMONT BLVD,NASHVILLE,2013-01-10,1435000,f,f,1.58,URBAN SERVICES DISTRICT,3227,398000,971700,1402300,6753,PT BSMT,1942,BRICK,X,5,4,2
141,117 12 0 114.00,DUPLEX,1490  CLAIRMONT PL,NASHVILLE,2013-01-31,330000,f,f,0.23,URBAN SERVICES DISTRICT,3727,210000,493100,716900,3371,CRAWL,2013,FRAME,A,4,3,1
144,118 01 0 116.00,SINGLE FAMILY,1105  GILMORE AVE,NASHVILLE,2013-01-18,718000,f,f,0.18,URBAN SERVICES DISTRICT,1626,140000,473200,636000,3477,CRAWL,2012,FRAME,B,3,3,0
145,118 01 0 382.00,SINGLE FAMILY,2406  9TH AVE S,NASHVILLE,2013-01-14,585157,f,f,0.27,URBAN SERVICES DISTRICT,1626,140000,481400,621400,3036,PT BSMT,2012,FRAME,B,3,2,1
147,118 13 0 183.00,SINGLE FAMILY,3514  WILBUR PL,NASHVILLE,2013-01-28,323000,f,f,0.36,URBAN SERVICES DISTRICT,3726,175000,156500,331500,1768,FULL BSMT,1949,STUCCO,C,3,2,0
150,128 10 0 034.00,SINGLE FAMILY,620  HICKS RD,NASHVILLE,2013-01-24,150000,f,f,0.24,GENERAL SERVICES DISTRICT,6732,36000,109400,145400,1900,SLAB,1969,BRICK,C,3,1,1
151,128 10 0 181.00,DUPLEX,645  HICKS RD,NASHVILLE,2013-01-18,132000,f,f,0.25,GENERAL SERVICES DISTRICT,6732,18000,92200,110200,1889.41998,FULL BSMT,1976,BRICK,C,4,2,0
156,129 11 0 026.00,SINGLE FAMILY,937  NEUHOFF LN,NASHVILLE,2013-01-25,268000,f,f,0.34,URBAN SERVICES DISTRICT,4326,70000,172600,242600,2610,SLAB,1965,BRICK,C,5,3,0
159,129 15 0 042.00,SINGLE FAMILY,912  PERCY WARNER BLVD,NASHVILLE,2013-01-07,224000,f,f,0.34,URBAN SERVICES DISTRICT,4326,66500,148900,215400,1625,CRAWL,1968,BRICK,C,3,2,0
161,130 08 0 037.00,SINGLE FAMILY,4328  ESTES RD,NASHVILLE,2013-01-18,975000,f,f,0.88,URBAN SERVICES DISTRICT,3229,350000,381600,731600,4060,PT BSMT,1945,BRICK,A,4,4,0
163,130 09 0 129.00,SINGLE FAMILY,1203  NICHOL LN,NASHVILLE,2013-01-22,710000,f,f,0.38,URBAN SERVICES DISTRICT,4327,375000,310100,685900,3497.5,CRAWL,1940,BRICK/FRAME,B,4,4,0
164,130 10 0 096.00,SINGLE FAMILY,917  WESTVIEW AVE,NASHVILLE,2013-01-15,616224,f,f,0.57,CITY OF BELLE MEADE,9026,448900,100100,549000,2065.59998,PT BSMT,1938,STONE,A,3,2,0
172,131 04 0 123.00,SINGLE FAMILY,1122  WOODVALE DR,NASHVILLE,2013-01-18,266125,f,f,0.18,URBAN SERVICES DISTRICT,3727,152000,107800,260300,906,CRAWL,1942,BRICK,C,2,1,0
174,131 06 0 044.00,SINGLE FAMILY,2013 B  CASTLEMAN DR,NASHVILLE,2013-01-25,846200,f,f,0.56,URBAN SERVICES DISTRICT,3727,210000,579800,819100,3732,CRAWL,2013,BRICK/FRAME,A,4,3,1
176,131 14 0 097.00,SINGLE FAMILY,4704  VILLA GREEN DR,NASHVILLE,2013-01-24,445000,f,f,1.14,URBAN SERVICES DISTRICT,3728,245000,150600,395600,2344,PT BSMT,1960,BRICK,B,3,2,0
177,131 16 0 039.00,SINGLE FAMILY,1007  STONEWALL DR,NASHVILLE,2013-01-23,550000,f,f,1.36,CITY OF OAK HILL,9529,272700,468800,741500,6395.19217,PT BSMT,1952,BRICK,B,5,4,1
178,132 05 0 102.00,SINGLE FAMILY,4302  GRAY OAKS DR,NASHVILLE,2013-01-17,345000,f,f,0.51,URBAN SERVICES DISTRICT,3727,200000,146200,347000,1620,CRAWL,1951,BRICK,B,3,2,0
193,144 06 0 010.00,SINGLE FAMILY,4400  CHICKERING LN,NASHVILLE,2013-01-29,2760000,f,t,4.53,CITY OF BELLE MEADE,9026,1174500,1574300,2826100,8403.86999,FULL BSMT,1930,BRICK/FRAME,X,4,6,0
196,145 09 0 049.00,SINGLE FAMILY,5848  E ASHLAND DR,NASHVILLE,2013-01-28,505000,f,f,1.34,CITY OF FOREST HILLS,9226,315000,158300,473300,3033.03998,FULL BSMT,1965,BRICK,C,5,5,0
202,158 03 0 003.00,SINGLE FAMILY,2001  CROMWELL DR,NASHVILLE,2013-01-07,1525000,f,f,1.04,CITY OF FOREST HILLS,9226,315000,1164100,1503800,6844,CRAWL,1956,BRICK,X,4,4,0
204,159 00 0 261.00,SINGLE FAMILY,5442  GRANNY WHITE PIKE,BRENTWOOD,2013-01-02,1365000,f,f,1.99,GENERAL SERVICES DISTRICT,6528,280800,1184700,1465500,6079,CRAWL,2006,BRICK,X,4,4,1
206,160 02 0 012.00,SINGLE FAMILY,824  REDWOOD DR,NASHVILLE,2013-01-22,1200000,f,f,1.08,CITY OF OAK HILL,9529,200000,1408800,1660700,6342,CRAWL,2007,BRICK/FRAME,X,3,3,2
207,160 05 0 018.00,SINGLE FAMILY,5338  GREEN VALLEY CT,NASHVILLE,2013-01-23,385500,f,f,1.14,CITY OF OAK HILL,9530,200000,218200,418200,2556,PT BSMT,1980,BRICK,B,3,3,0
208,081 02 0 085.00,SINGLE FAMILY,1730  KELLOW ST,NASHVILLE,2013-01-28,27000,f,f,0.17,URBAN SERVICES DISTRICT,3326,11000,50800,61800,1344,CRAWL,1940,FRAME,D,4,2,0
209,081 03 0 202.00,DUPLEX,2107  12TH AVE N,NASHVILLE,2013-01-08,65900,f,f,0.17,URBAN SERVICES DISTRICT,226,11000,43200,54200,1544,CRAWL,1955,BRICK,D,4,2,0
210,081 06 0 369.00,SINGLE FAMILY,2307  LACY ST,NASHVILLE,2013-01-11,54500,f,f,0.17,URBAN SERVICES DISTRICT,3326,11000,34200,45600,1236,CRAWL,1930,FRAME,D,3,1,0
211,081 07 0 395.00,SINGLE FAMILY,1817  CEPHAS ST,NASHVILLE,2013-01-10,17000,f,f,0.13,URBAN SERVICES DISTRICT,226,11000,52500,63500,935,CRAWL,1930,FRAME,D,3,1,0
212,081 15 0 092.00,SINGLE FAMILY,1902  HEIMAN ST,NASHVILLE,2013-01-25,25000,f,f,0.15,URBAN SERVICES DISTRICT,226,13000,45300,58300,790,CRAWL,1937,FRAME,D,2,1,0
213,081 15 0 489.00,SINGLE FAMILY,1710  SCOVEL ST,NASHVILLE,2013-01-08,37500,f,f,0.09,URBAN SERVICES DISTRICT,226,13000,45900,64500,1057,CRAWL,1935,BRICK/FRAME,D,1,1,0
214,090 12 0 275.00,DUPLEX,6374  IVY ST,NASHVILLE,2013-01-07,78500,f,f,0.44,URBAN SERVICES DISTRICT,3329,24000,66700,90700,1978,CRAWL,1958,FRAME,D,4,2,0
215,090 16 0 182.00,SINGLE FAMILY,509  ACHIEVEMENT DR,NASHVILLE,2013-01-11,102000,f,f,0.26,URBAN SERVICES DISTRICT,3328,31000,70900,101900,1025,FULL BSMT,1960,BRICK,C,3,1,1
217,091 07 0 171.00,SINGLE FAMILY,4806  KENTUCKY AVE,NASHVILLE,2013-01-02,50000,f,f,0.17,URBAN SERVICES DISTRICT,1226,45000,48200,93200,856,CRAWL,1918,FRAME,D,3,1,0
219,091 08 0 074.00,SINGLE FAMILY,1030  43RD AVE N,NASHVILLE,2013-01-16,93000,f,f,0.17,URBAN SERVICES DISTRICT,1127,20000,93100,113100,1316.25,CRAWL,1925,BRICK/FRAME,D,4,2,0
220,091 08 0 112.00,SINGLE FAMILY,1000  42ND AVE N,NASHVILLE,2013-01-07,59220,f,f,0.12,URBAN SERVICES DISTRICT,1127,20000,37800,57800,888,PT BSMT,1950,FRAME,D,3,1,0
221,091 08 0 361.00,SINGLE FAMILY,4503  MICHIGAN AVE,NASHVILLE,2013-01-04,215044,f,f,0.14,URBAN SERVICES DISTRICT,1226,45000,172100,217100,1615,CRAWL,2012,FRAME,C,3,2,1
222,091 09 0 233.00,SINGLE FAMILY,6361  ALAMO PL,NASHVILLE,2013-01-18,127500,f,f,0.21,URBAN SERVICES DISTRICT,3329,24000,83200,107200,1088,CRAWL,1949,FRAME,D,2,1,0
231,127 00 0 173.00,SINGLE FAMILY,7426  HUNTWICK TRL,NASHVILLE,2013-01-10,600000,f,f,9.18,GENERAL SERVICES DISTRICT,6739,152400,446600,644200,5118,CRAWL,1978,BRICK/FRAME,A,4,6,0
232,050 13 0 026.00,SINGLE FAMILY,2101  W RICHMOND HILL DR,NASHVILLE,2013-01-31,31000,f,f,0.22,URBAN SERVICES DISTRICT,4826,14000,48500,62500,1050,CRAWL,1971,BRICK,C,3,1,0
235,058 15 0 155.00,SINGLE FAMILY,4101  TIMOTHY DR,NASHVILLE,2013-01-18,115000,f,f,0.34,URBAN SERVICES DISTRICT,3532,20000,118000,138000,1908,CRAWL,1980,BRICK,C,3,2,0
236,059 11 0 015.00,SINGLE FAMILY,3844  CRAVATH DR,NASHVILLE,2013-01-17,45000,f,f,0.31,URBAN SERVICES DISTRICT,3533,21000,87600,108600,1536,CRAWL,1967,BRICK,C,3,1,1
237,059 15 0 059.00,SINGLE FAMILY,726  RINGGOLD DR,NASHVILLE,2013-01-18,120000,f,f,0.19,URBAN SERVICES DISTRICT,3533,21000,81400,102400,1800,CRAWL,1967,BRICK,C,3,1,1
238,069 04 0 065.00,SINGLE FAMILY,3602  W HAMILTON RD,NASHVILLE,2013-01-22,52500,f,f,0.41,URBAN SERVICES DISTRICT,3532,20000,55600,75600,1508,CRAWL,1945,FRAME,D,2,1,0
239,070 02 0 028.00,SINGLE FAMILY,2816  BUENA VISTA PIKE,NASHVILLE,2013-01-10,26000,f,f,1.54,URBAN SERVICES DISTRICT,3527,21300,5800,28500,1317,CRAWL,1940,CONC BLK,D,2,1,0
240,071 05 0 163.00,SINGLE FAMILY,1825  MEADE AVE,NASHVILLE,2013-01-24,81000,f,f,0.16,URBAN SERVICES DISTRICT,3527,11000,79300,90700,1220,CRAWL,1997,FRAME,C,3,2,0
241,080 08 0 031.00,SINGLE FAMILY,3239  CROWE DR,NASHVILLE,2013-01-17,27000,f,f,0.2,URBAN SERVICES DISTRICT,3536,14000,40300,54300,975,CRAWL,1964,BRICK,C,2,1,0
242,080 08 0 260.00,SINGLE FAMILY,3234  MEXICO DR,NASHVILLE,2013-01-04,20000,f,f,0.15,URBAN SERVICES DISTRICT,3536,14000,45800,59800,986,CRAWL,1966,BRICK,C,3,1,0
245,041 11 0 011.00,SINGLE FAMILY,4021  DUMBARTON DR,NASHVILLE,2013-01-04,100,f,f,0.78,GENERAL SERVICES DISTRICT,6829,25000,94300,119300,1620,FULL BSMT,1958,BRICK,C,2,1,0
246,041 15 0 043.00,SINGLE FAMILY,1313  BELLSHIRE DR,NASHVILLE,2013-01-31,136600,f,f,0.85,GENERAL SERVICES DISTRICT,6829,25000,86800,111800,1468.75,FULL BSMT,1958,BRICK,C,3,1,1
248,050 15 0 140.00,SINGLE FAMILY,3236  VAILVIEW DR,NASHVILLE,2013-01-15,109900,f,f,0.43,URBAN SERVICES DISTRICT,4827,20000,80000,100000,1820,SLAB,1962,BRICK,C,3,2,0
252,043 09 0 048.00,SINGLE FAMILY,240  WILEY ST,MADISON,2013-01-16,44000,f,f,0.15,GENERAL SERVICES DISTRICT,6950,18000,63600,81600,1137,CRAWL,1948,FRAME,C,2,1,0
253,043 09 0 330.00,SINGLE FAMILY,408  BIXLER AVE,MADISON,2013-01-11,102900,f,f,0.65,GENERAL SERVICES DISTRICT,6950,23600,77200,102500,1218,CRAWL,1945,FRAME,C,3,1,0
254,043 12 0 036.00,SINGLE FAMILY,145  EAGAN CIR,MADISON,2013-01-16,97500,f,f,0.34,GENERAL SERVICES DISTRICT,6950,18000,74900,95100,1780,CRAWL,1952,FRAME,C,3,2,0
256,043 15 0 249.00,SINGLE FAMILY,253  WARRIOR RD,MADISON,2013-01-08,70000,f,f,0.21,GENERAL SERVICES DISTRICT,6927,20000,81700,101700,1500,SLAB,1978,FRAME,C,3,2,0
257,043 16 0 010.00,DUPLEX,120  RIO VISTA DR,MADISON,2013-01-08,74000,f,f,0.29,GENERAL SERVICES DISTRICT,6950,18000,54800,72800,1248,CRAWL,1963,BRICK,C,4,2,0
259,052 06 0 093.00,SINGLE FAMILY,846  FLORENCE CIR,MADISON,2013-01-11,159900,f,f,0.53,GENERAL SERVICES DISTRICT,6926,48000,174000,222000,2495,SLAB,1962,BRICK,B,4,2,0
260,052 07 0 082.00,SINGLE FAMILY,1001  JASPERSON DR,MADISON,2013-01-24,66120,f,f,0.98,GENERAL SERVICES DISTRICT,6926,27000,80900,107900,1361,CRAWL,1954,BRICK,C,2,1,0
261,052 08 0 114.00,DUPLEX,1504  MEADOW BEND DR,MADISON,2013-01-09,85000,f,f,0.29,GENERAL SERVICES DISTRICT,6926,21600,63800,85400,1519,CRAWL,1984,BRICK/FRAME,C,4,2,0
262,052 08 0 116.00,DUPLEX,1501  MEADOW BEND DR,MADISON,2013-01-03,89900,f,f,0.24,GENERAL SERVICES DISTRICT,6926,21600,70600,92200,1658,CRAWL,1984,BRICK,C,4,2,0
264,061 07 0 205.00,SINGLE FAMILY,4207  GLYNDA DR,NASHVILLE,2013-01-04,77500,f,f,0.38,URBAN SERVICES DISTRICT,7332,30000,120700,150700,1322,CRAWL,1956,BRICK,C,3,1,0
265,061 11 0 235.00,SINGLE FAMILY,1105  GREENLAND AVE,NASHVILLE,2013-01-04,83000,f,f,0.51,URBAN SERVICES DISTRICT,7328,37000,227700,270700,2236.85999,CRAWL,1948,BRICK,C,4,3,0
266,061 11 0 317.00,SINGLE FAMILY,1104  MCALPINE AVE,NASHVILLE,2013-01-17,154900,f,f,0.35,URBAN SERVICES DISTRICT,7328,37000,127000,164000,1312,PT BSMT,1935,BRICK,C,4,1,0
267,061 15 0 108.00,DUPLEX,1126  ARDEE AVE,NASHVILLE,2013-01-15,130000,f,f,0.19,URBAN SERVICES DISTRICT,7328,30000,219200,249200,2227.5,FULL BSMT,1940,STONE,C,3,2,0
268,063 02 0 038.00,SINGLE FAMILY,1535  MOHAWK TRL,MADISON,2013-01-16,108500,f,f,0.16,GENERAL SERVICES DISTRICT,6926,18000,74700,92700,1143,CRAWL,1993,FRAME,C,3,2,0
269,071 15 0 300.00,SINGLE FAMILY,1225  JOSEPH AVE,NASHVILLE,2013-01-15,57999,f,f,0.16,URBAN SERVICES DISTRICT,2026,27000,40400,67400,1152,CRAWL,1940,FRAME,C,5,1,0
270,071 15 0 451.00,SINGLE FAMILY,1213  STAINBACK AVE,NASHVILLE,2013-01-24,40000,f,f,0.18,URBAN SERVICES DISTRICT,2026,27000,119600,146600,1160,CRAWL,1925,FRAME,C,2,2,0
272,072 03 0 387.00,SINGLE FAMILY,1313 B  MCCHESNEY AVE,NASHVILLE,2013-01-10,334000,f,f,0.24,URBAN SERVICES DISTRICT,7328,37000,293600,330600,2317,CRAWL,2012,FRAME,B,3,2,1
